osmid,city,church,period,previous_surface,end_surface,factor,rule_of_thumb,rule_of_thumb_m2,estimated by rule of thumb,period1,period2,,,,
79560509,Aachen,St. Peter,1215-1250,520,1100,1,1.879,585.4177754,550,1215,1250,,,585.4177754,520
27999096,Burscheid,Altenberger Dom,1135-1180,1100,2100,1,1.879,1117.615753,1050,1135,1180,,,1117.615753,1100
94168520,Worms,Dom St. Peter,1000-1018,3100,3300,1,1.879,1756.253326,,1000,1018,,,1756.253326,3100
79704944,Aachen,Sankt Michael,1215-1230,412,1100,1,1.879,585.4177754,,1215,1230,,,585.4177754,412
26495164,"Antwerpen (Anvers, Antwerp)",Onze-Lieve-Vrouwekathedraal,1120-1180,3360,7100,1,1.879,3778.605641,,1120,1180,,,3778.605641,3360
40104619,Duisburg,Salvatorkirche,960-980,50,1300,2,1.879,368.2050936,325,960,980,,,368.2050936,50
40104619,Duisburg,Salvatorkirche,960-980,50,544,1,1.879,289.5156998,,960,980,,,289.5156998,50
40104619,Duisburg,Salvatorkirche,1140-1160,544,1300,1,1.879,691.8573709,650,1140,1160,,,691.8573709,544
53212149,Essen,MÙnsterkirche-Dom zu Essen,850-870,792,1200,3,1.879,180.8843134,150,850,870,,,180.8843134,792
53212149,Essen,MÙnsterkirche-Dom zu Essen,850-870,792,1166,2,1.879,330.2516455,,850,870,,,330.2516455,792
53212149,Essen,MÙnsterkirche-Dom zu Essen,850-870,792,1008,1,1.879,536.4555615,,850,870,,,536.4555615,792
53212149,Essen,MÙnsterkirche-Dom zu Essen,946-971,1008,1200,2,1.879,339.8816249,300,946,971,,,339.8816249,1008
53212149,Essen,MÙnsterkirche-Dom zu Essen,946-971,1008,1166,1,1.879,620.5428419,300,946,971,,,620.5428419,1008
53212149,Essen,MÙnsterkirche-Dom zu Essen,1050-1080,1166,1200,1,1.879,638.6375732,600,1050,1080,,,638.6375732,1166
43836209,Kleve,Stiftskirche,1170-1190,468,1800,1,1.879,957.9563598,900,1170,1190,,,957.9563598,468
25857134,Koblenz,Florinskirche,800-900,200,1300,2,1.879,368.2050936,325,800,900,,,368.2050936,200
25857134,Koblenz,Florinskirche,800-900,200,1300,1,1.879,691.8573709,,800,900,,,691.8573709,200
25857134,Koblenz,Florinskirche,1080-1120,1300,1300,1,1.879,691.8573709,650,1080,1120,,,691.8573709,1300
169014352,Koblenz,Liebfrauenkirche,800-900,240,1100,2,1.879,311.5581562,275,800,900,,,311.5581562,240
169014352,Koblenz,Liebfrauenkirche,800-900,240,650,1,1.879,345.9286855,,800,900,,,345.9286855,240
169014352,Koblenz,Liebfrauenkirche,1180-1300,650,1100,1,1.879,585.4177754,550,1180,1300,,,585.4177754,650
397737238,"Geneve (Geneva, Genf)",Cath_drale Saint-Pierre,600,800,2200,2,1.879,623.1163123,,600,,,,623.1163123,800
25718547,Lausanne,Cath_drale Notre-Dame de Lausanne,650,800,2800,3,1.879,422.063398,,650,,,,422.063398,800
25718547,Lausanne,Cath_drale Notre-Dame de Lausanne,650,800,1000,2,1.879,283.2346874,,650,,,,283.2346874,800
25718547,Lausanne,Cath_drale Notre-Dame de Lausanne,650,800,900,1,1.879,478.9781799,,650,,,,478.9781799,800
25718547,Lausanne,Cath_drale Notre-Dame de Lausanne,850-880,900,2800,2,1.879,793.0571248,,850,880,,,793.0571248,900
25718547,Lausanne,Cath_drale Notre-Dame de Lausanne,850-880,900,1000,1,1.879,532.1979776,,850,880,,,532.1979776,900
25718547,Lausanne,Cath_drale Notre-Dame de Lausanne,985-1020,1000,2800,1,1.879,1490.154337,,985,1020,,,1490.154337,1000
89967877,Zuerich (ZÙrich),FraumÙnster,850-874,960,1400,1,1.879,745.0771687,,850,874,,,745.0771687,960
131605938,St Gallen,Stiftskirche,830-837,1500,3800,2,1.879,1076.291812,,803,823,,,1076.291812,1500
137472252,Basel,Basler MÙnster,803-823,1150,2700,2,1.879,764.733656,,803,823,,,764.733656,1150
137472252,Basel,Basler MÙnster,803-823,1150,1400,1,1.879,745.0771687,,803,823,,,745.0771687,1150
137472252,Basel,Basler MÙnster,1000-1019,1400,2700,1,1.879,1436.93454, ,1000,1019,,,1436.93454,1400
32694789,Metz,Cath_drale Saint-Ätienne,970-1040,2500,5000,1,1.879,2660.989888,,970,1040,,,2660.989888,2500
