city,osmid,year,m2
roma,24154105,330,800
roma,24154105,1501,2000
roma,140031952,337,1200
roma,140031952,595,1200
roma,140031952,833,1200
roma,36444,440,1300
roma,36444,1216,1300
roma,36444,1715,1800
roma,44448525,450,1100
roma,44448525,817,1100
roma,44448525,1594,1800
roma,201294911,400,1200
roma,201294911,1477,1200
verona,288170289,1000,1500
verona,288170289,1118,2200
ravenna,253313954,402,2200
ravenna,253313954,1734,2600
ravenna,253318740,425,1300
ravenna,253318740,1300,1300
ravenna,253313001,450,1100
ravenna,253313001,1261,1300
roma ,36444,400,6000
roma ,36444,896,6000
roma ,36444,1308,6000
roma ,36444,1585,13000
roma ,2754121,319,7100
roma ,2754121,1550,22000
roma,23370510,300,750
roma,23370510,389,7900
roma,23370510,1823,8200
roma,131564482,432,3100
roma,131564482,1145,4000
roma,131564482,1584,7000
torcello,36684771,649,800
torcello,36684771,864,1100
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
