osmid	city	osmname	surface	osmwikipedia	osmlink	category	mendicants	lat	lon																				
527060031	Acqui Terme	chiesa dell'Addolorata	1030.816558	http://www.cittaecattedrali.it/it/bces/165-chiesa-dell-addolorata-acqui-terme-al	http://www.openstreetmap.org/way/527060031	cathedral	0	44.67603384	8.468062579	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
527060031	Acqui Terme	chiesa dell'Addolorata	year							500	700	989	1018																
527060031	Acqui Terme	chiesa dell'Addolorata	surface							0	860	0	1000																
527060031	Acqui Terme	chiesa dell'Addolorata	height							16	16	17	17																
527060031	Acqui Terme	chiesa dell'Addolorata	m3																										
527060031	Acqui Terme	chiesa dell'Addolorata	guestimate							1	1	1	1																
																													
422071903	Acqui Terme	Cattedrale di Santa Maria Assunta	1642.477945	it.wikipedia.org/wiki/Cattedrale_di_Santa_Maria_Assunta_(Acqui_Terme)	http://www.openstreetmap.org/way/422071903	cathedral	0	44.67416919	8.471231738	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
422071903	Acqui Terme	Cattedrale di Santa Maria Assunta	year							1020	1067	1480	1490																
422071903	Acqui Terme	Cattedrale di Santa Maria Assunta	surface							0	1300		100																
422071903	Acqui Terme	Cattedrale di Santa Maria Assunta	height							18	18	18	18																
422071903	Acqui Terme	Cattedrale di Santa Maria Assunta	m3																										
422071903	Acqui Terme	Cattedrale di Santa Maria Assunta	guestimate							1	1	1	1																
																													
363226319	Alba	Chiesa di San Domenico	1031.501137	http://www.comune.alba.cn.it/sma/cos-%C3%A8-il-sistema/musei/2755-chiesa-san-domenico	http://www.openstreetmap.org/way/363226319	conventual	1	44.69940996	8.036294849	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
363226319	Alba	Chiesa di San Domenico	year							1280	1320																		
363226319	Alba	Chiesa di San Domenico	surface							0	1000																		
363226319	Alba	Chiesa di San Domenico	height							17	17																		
363226319	Alba	Chiesa di San Domenico	m3																										
363226319	Alba	Chiesa di San Domenico	guestimate							1	1																		
																													
362343255	Alba	Cattedrale di San Lorenzo	2263.766223	it.wikipedia.org/wiki/Duomo_di_Alba	http://www.openstreetmap.org/way/362343255	cathedral	0	44.70073491	8.03662175	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
362343255	Alba	Cattedrale di San Lorenzo	year							500	600	1000	1100	1486	1517														
362343255	Alba	Cattedrale di San Lorenzo	surface							0	1600	0	1900	0	2300														
362343255	Alba	Cattedrale di San Lorenzo	height							21	21	23	23	24	24														
362343255	Alba	Cattedrale di San Lorenzo	m3																										
362343255	Alba	Cattedrale di San Lorenzo	guestimate							1	1	1	1	1	1														
																													
144977408	Biella	Chiesa parrocchiale di Santa Maria Assunta	1094.806053	http://www.cittaecattedrali.it/it/bces/356-chiesa-di-s-maria-assunta	http://www.openstreetmap.org/way/144977408	parish	0	45.57280826	8.067399268	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
144977408	Biella	Chiesa parrocchiale di Santa Maria Assunta	year							1100	1300																		
144977408	Biella	Chiesa parrocchiale di Santa Maria Assunta	surface							0	940																		
144977408	Biella	Chiesa parrocchiale di Santa Maria Assunta	height							17	17																		
144977408	Biella	Chiesa parrocchiale di Santa Maria Assunta	m3																										
144977408	Biella	Chiesa parrocchiale di Santa Maria Assunta	guestimate							1	1																		
																													
219553534	Biella	Chiesa di San Sebastiano	1228.107875	it.wikipedia.org/wiki/Basilica_di_San_Sebastiano_(Biella)	http://www.openstreetmap.org/way/219553534	conventual	0	45.56394087	8.049929185	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
219553534	Biella	Chiesa di San Sebastiano	year							1100	1300																		
219553534	Biella	Chiesa di San Sebastiano	surface							0	1000																		
219553534	Biella	Chiesa di San Sebastiano	height							18	18																		
219553534	Biella	Chiesa di San Sebastiano	m3																										
219553534	Biella	Chiesa di San Sebastiano	guestimate							1	1																		
																													
428452003	Biella	Cattedrale di Santo Stefano	2433.92488	it.wikipedia.org/wiki/Duomo_di_Biella	http://www.openstreetmap.org/way/428452003	cathedral	0	45.56609355	8.053756768	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
428452003	Biella	Cattedrale di Santo Stefano	year							1000	1100	1402	1450	1772	1803														
428452003	Biella	Cattedrale di Santo Stefano	surface							0	1500	0	1800		600														
428452003	Biella	Cattedrale di Santo Stefano	height							20	20	25	25	25	25														
428452003	Biella	Cattedrale di Santo Stefano	m3																										
428452003	Biella	Cattedrale di Santo Stefano	guestimate							1	1	1	1	0	0														
																													
127518429	Bourg en Bresse (Bourg-en-Bresse)	Co-cathédrale Notre-Dame-de-l'Annonciation	1887.353398	fr.wikipedia.org/wiki/Co-cathédrale_Notre-Dame_de_l'Annonciation_de_Bourg-en-Bresse	http://www.openstreetmap.org/way/127518429	parish	0	46.20574567	5.227317113	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
127518429	Bourg en Bresse (Bourg-en-Bresse)	Co-cathédrale Notre-Dame-de-l'Annonciation	year							1100	1200	1343	1375																
127518429	Bourg en Bresse (Bourg-en-Bresse)	Co-cathédrale Notre-Dame-de-l'Annonciation	surface							0	530	0	1000																
127518429	Bourg en Bresse (Bourg-en-Bresse)	Co-cathédrale Notre-Dame-de-l'Annonciation	height							10	10	14	14																
127518429	Bourg en Bresse (Bourg-en-Bresse)	Co-cathédrale Notre-Dame-de-l'Annonciation	m3																										
127518429	Bourg en Bresse (Bourg-en-Bresse)	Co-cathédrale Notre-Dame-de-l'Annonciation	guestimate							1	1	1	1																
																													
1832902	Carrara	Duomo di Massa	5160.846298	it.wikipedia.org/wiki/Duomo_di_Massa	http://www.openstreetmap.org/relation/1832902	cathedral	0	44.03783885	10.14405014	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
1832902	Carrara	Duomo di Massa	year							500	700	1000	1200	1450	1480														
1832902	Carrara	Duomo di Massa	surface							0	900	0	1100	0	1300														
1832902	Carrara	Duomo di Massa	height							17	17	18	18	19	19														
1832902	Carrara	Duomo di Massa	m3																										
1832902	Carrara	Duomo di Massa	guestimate							1	1	1	1	1	1														
																													
525104083	Chieri	Chiesa di San Domenico	1700.117155	https://it.wikipedia.org/wiki/Chiesa_di_San_Domenico_(Chieri)	http://www.openstreetmap.org/way/525104083	conventual	1	45.00953446	7.826346701	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
525104083	Chieri	Chiesa di San Domenico	year							1225	1250	1300	1400																
525104083	Chieri	Chiesa di San Domenico	surface							0	1400		300																
525104083	Chieri	Chiesa di San Domenico	height							22	22	22	22																
525104083	Chieri	Chiesa di San Domenico	m3																										
525104083	Chieri	Chiesa di San Domenico	guestimate							1	1	1	1																
																													
396957603	Chieri	Collegiata di Santa Maria della Scala	2454.065805	it.wikipedia.org/wiki/Chiesa_di_Santa_Maria_della_Scala_(Chieri)	http://www.openstreetmap.org/way/396957603	parish	0	45.01180464	7.823061133	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
396957603	Chieri	Collegiata di Santa Maria della Scala	year							500	600	800	900	1037	1060	1405	1437												
396957603	Chieri	Collegiata di Santa Maria della Scala	surface							0	1400	0	1700	0	2000	0	2500												
396957603	Chieri	Collegiata di Santa Maria della Scala	height							20	20	21	21	23	23	25	25												
396957603	Chieri	Collegiata di Santa Maria della Scala	m3																										
396957603	Chieri	Collegiata di Santa Maria della Scala	guestimate							1	1	1	1	1	1	1	1												
																													
147939787	Eboli	Chiesa della Madonna della Pietà	1001.087057	https://it.wikipedia.org/wiki/Chiesa_collegiata_di_Santa_Maria_della_Piet%C3%A0	http://www.openstreetmap.org/way/147939787	parish	0	40.61806676	15.05779814	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
147939787	Eboli	Chiesa della Madonna della Pietà	year							1000	1100																		
147939787	Eboli	Chiesa della Madonna della Pietà	surface							0	900																		
147939787	Eboli	Chiesa della Madonna della Pietà	height							16	16																		
147939787	Eboli	Chiesa della Madonna della Pietà	m3																										
147939787	Eboli	Chiesa della Madonna della Pietà	guestimate							1	1																		
																													
107725916	Eboli	Santuario dei Santi Cosma e Damiano	1049.713054	http://www.comune.eboli.sa.it/dettagli.aspx?c=1&sc=36&id=50&tbl=contenuti	http://www.openstreetmap.org/way/107725916	parish	0	40.6217209	15.05358784	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
107725916	Eboli	Santuario dei Santi Cosma e Damiano	year							1000	1020	1165	1200	1771	1790	1957	1960												
107725916	Eboli	Santuario dei Santi Cosma e Damiano	surface							0	700	0	800	0	900	0	1000												
107725916	Eboli	Santuario dei Santi Cosma e Damiano	height							15	15	16	16	16	16	17	17												
107725916	Eboli	Santuario dei Santi Cosma e Damiano	m3																										
107725916	Eboli	Santuario dei Santi Cosma e Damiano	guestimate							1	1	1	1	1	1	0	0												
																													
59203296	Este	Duomo abbaziale di Santa Tecla	1031.468997	https://www.collieuganei.it/chiese/duomo-tecla/	http://www.openstreetmap.org/way/59203296	cathedral	0	45.22999491	11.6536102	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
59203296	Este	Duomo abbaziale di Santa Tecla	year							400	600	1000	1200																
59203296	Este	Duomo abbaziale di Santa Tecla	surface							0	800	0	900																
59203296	Este	Duomo abbaziale di Santa Tecla	height							16	16	17	17																
59203296	Este	Duomo abbaziale di Santa Tecla	m3																										
59203296	Este	Duomo abbaziale di Santa Tecla	guestimate							1	1	1	1																
																													
59056278	Este	Basilica Santa Maria delle Grazie	1336.154723	https://www.visitabanomontegrotto.com/territorio/luoghi-della-fede/basilica-di-santa-maria-delle-grazie-este/	http://www.openstreetmap.org/way/59056278	conventual	1	45.22582546	11.6595388	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
59056278	Este	Basilica Santa Maria delle Grazie	year							1400	1500	1717	1725																
59056278	Este	Basilica Santa Maria delle Grazie	surface							0	1100	0	1300																
59056278	Este	Basilica Santa Maria delle Grazie	height							18	18	19	19																
59056278	Este	Basilica Santa Maria delle Grazie	m3																										
59056278	Este	Basilica Santa Maria delle Grazie	guestimate							1	1	1	1																
																													
439907356	Fossombrone	Chiesa di Sant’Aldebrando	1481.166867	it.wikipedia.org/wiki/Concattedrale_di_Fossombrone	http://www.openstreetmap.org/way/439907356	conventual	0	43.68876728	12.80547432	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
439907356	Fossombrone	Chiesa di Sant’Aldebrando	year							1228	1247	1400	1450																
439907356	Fossombrone	Chiesa di Sant’Aldebrando	surface							0	1000		300																
439907356	Fossombrone	Chiesa di Sant’Aldebrando	height							19	19	19	19																
439907356	Fossombrone	Chiesa di Sant’Aldebrando	m3																										
439907356	Fossombrone	Chiesa di Sant’Aldebrando	guestimate							1	1	1	1																
																													
158230794	Greenwich  (became part of London)	"St Alfege, Greenwich"	1285.431272	"en.wikipedia.org/wiki/St_Alfege_Church,_Greenwich"	http://www.openstreetmap.org/way/158230794	parish	0	51.48046182	-0.009711152	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
158230794	Greenwich  (became part of London)	"St Alfege, Greenwich"	year							1010	1020	1280	1300	1714	1718														
158230794	Greenwich  (became part of London)	"St Alfege, Greenwich"	surface							0	370	0	690	0	1300														
158230794	Greenwich  (became part of London)	"St Alfege, Greenwich"	height							9	9	12	12	16	16														
158230794	Greenwich  (became part of London)	"St Alfege, Greenwich"	m3																										
158230794	Greenwich  (became part of London)	"St Alfege, Greenwich"	guestimate							1	1	1	1	1	1														
																													
237751169	Gubbio	Cattedrale dei Santi Mariano e Giacomo	1394.887368	it.wikipedia.org/wiki/Duomo_di_Gubbio	http://www.openstreetmap.org/way/237751169	cathedral	0	43.35367967	12.58008728	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
237751169	Gubbio	Cattedrale dei Santi Mariano e Giacomo	year							700	900	1192	1229	1336	1340														
237751169	Gubbio	Cattedrale dei Santi Mariano e Giacomo	surface							0	900	0	1000		400														
237751169	Gubbio	Cattedrale dei Santi Mariano e Giacomo	height							16	16	20	20	20	20														
237751169	Gubbio	Cattedrale dei Santi Mariano e Giacomo	m3																										
237751169	Gubbio	Cattedrale dei Santi Mariano e Giacomo	guestimate							1	1	1	1	1	1														
																													
105461759	Gubbio	Chiesa di San Francesco	1406.22431	http://www.gubbio.name/chiese_san_francesco_it.html	http://www.openstreetmap.org/way/105461759	conventual	1	43.35161134	12.57662429	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
105461759	Gubbio	Chiesa di San Francesco	year							1230	1300	1400	1500																
105461759	Gubbio	Chiesa di San Francesco	surface							0	1300		100																
105461759	Gubbio	Chiesa di San Francesco	height							20	20	20	20																
105461759	Gubbio	Chiesa di San Francesco	m3																										
105461759	Gubbio	Chiesa di San Francesco	guestimate							1	1	1	1																
																													
175839254	Gubbio	Chiesa di San Domenico	1929.187147	http://www.comune.gubbio.pg.it/turismo/chiesa-di-s-domenico	http://www.openstreetmap.org/way/175839254	conventual	1	43.35456717	12.5748281	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
175839254	Gubbio	Chiesa di San Domenico	year							1000	1100	1280	1300	1339	1350	1450	1460												
175839254	Gubbio	Chiesa di San Domenico	surface							0	1300	0	1500		200		200												
175839254	Gubbio	Chiesa di San Domenico	height							19	19	23	23	23	23	23	23												
175839254	Gubbio	Chiesa di San Domenico	m3																										
175839254	Gubbio	Chiesa di San Domenico	guestimate							1	1	1	1	1	1	1	1												
																													
66771121	Konstanz (Drusomagus)	Dreifaltigkeitskirche	1050.019674	de.wikipedia.org/wiki/Dreifaltigkeitskirche_(Konstanz)	http://www.openstreetmap.org/way/66771121	conventual	1	47.6587805	9.17492012	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
66771121	Konstanz (Drusomagus)	Dreifaltigkeitskirche	year							1280	1320																		
66771121	Konstanz (Drusomagus)	Dreifaltigkeitskirche	surface							0	1100																		
66771121	Konstanz (Drusomagus)	Dreifaltigkeitskirche	height							15	15																		
66771121	Konstanz (Drusomagus)	Dreifaltigkeitskirche	m3																										
66771121	Konstanz (Drusomagus)	Dreifaltigkeitskirche	guestimate							1	1																		
																													
180797850	Konstanz (Drusomagus)	Sankt Ulrich	1089.232106	de.wikipedia.org/wiki/Kloster_Kreuzlingen	http://www.openstreetmap.org/way/180797850	conventual	1	47.64577417	9.178611218	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
180797850	Konstanz (Drusomagus)	Sankt Ulrich	year							1125	1150																		
180797850	Konstanz (Drusomagus)	Sankt Ulrich	surface							0	310																		
180797850	Konstanz (Drusomagus)	Sankt Ulrich	height							8	8																		
180797850	Konstanz (Drusomagus)	Sankt Ulrich	m3																										
180797850	Konstanz (Drusomagus)	Sankt Ulrich	guestimate							1	1																		
																													
26835607	Konstanz (Drusomagus)	Stephanskirche	1748.401657	de.wikipedia.org/wiki/St._Stephan_(Konstanz)	http://www.openstreetmap.org/way/26835607	conventual	0	47.66256382	9.174322844	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
26835607	Konstanz (Drusomagus)	Stephanskirche	year							680	930	950	1130	1180	1428	1500													
26835607	Konstanz (Drusomagus)	Stephanskirche	surface							420	0	800	0	1500		200													
26835607	Konstanz (Drusomagus)	Stephanskirche	height							9	13	13	19	19	19	19													
26835607	Konstanz (Drusomagus)	Stephanskirche	m3																										
26835607	Konstanz (Drusomagus)	Stephanskirche	guestimate							1	1	1	1	1	1	1													
																													
181713021	Konstanz (Drusomagus)	Münster Unserer Lieben Frau	2596.264938	de.wikipedia.org/wiki/Konstanzer_Münster	http://www.openstreetmap.org/way/181713021	cathedral	0	47.66335263	9.175947721	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
181713021	Konstanz (Drusomagus)	Münster Unserer Lieben Frau	year							590	820	850	995	1018	1054	1089	1420	1500											
181713021	Konstanz (Drusomagus)	Münster Unserer Lieben Frau	surface							238	0	449	0	840	0	1600		800											
181713021	Konstanz (Drusomagus)	Münster Unserer Lieben Frau	height							5	10	10	13	13	22	22	22	22											
181713021	Konstanz (Drusomagus)	Münster Unserer Lieben Frau	m3																										
181713021	Konstanz (Drusomagus)	Münster Unserer Lieben Frau	guestimate							1	1	1	1	1	1	1	1	1											
																													
28700959	Luzern	Pfarrkirche St. Barbara	1113.007355	https://de.wikipedia.org/wiki/Pfarrkirche_St._Jakobus_Major_und_St._Barbara_(Dietwil)	http://www.openstreetmap.org/way/28700959	parish	0	47.09389362	8.272834051	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
28700959	Luzern	Pfarrkirche St. Barbara	year							1100	1120	1456	1500																
