osmid,city,osmname,surface,osmwikipedia,osmlink,category,mendicants,lat,lon,,,,,,,,,,,,,,,
398361496,Acerra,Cattedrale di Santa Maria Assunta,1706.924655,it.wikipedia.org/wiki/Cattedrale_di_Acerra,http://www.openstreetmap.org/way/398361496,cathedral,,40.94336863,14.3727919,x,x,x,x,x,x,x,x,x,x,x,x,x,,
398361496,Acerra,Cattedrale di Santa Maria Assunta,year,,,cathedral,,,,800,1000,1100,1300,,,,,,,,,,,
398361496,Acerra,Cattedrale di Santa Maria Assunta,surface,,,cathedral,,,,0,1200,0,1400,,,,,,,,,,,
398361496,Acerra,Cattedrale di Santa Maria Assunta,height,,,cathedral,,,,19,19,20,20,,,,,,,,,,,
398361496,Acerra,Cattedrale di Santa Maria Assunta,m3,,,cathedral,,,,,,,,,,,,,,,,,,
398361496,Acerra,Cattedrale di Santa Maria Assunta,guestimate,,,cathedral,,,,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
55894456,Aderno (Adrano),Chiesa Madre,2166.171007,https://www.flickr.com/photos/luigistrano/6688198215,http://www.openstreetmap.org/way/55894456,parish,,37.66261588,14.83127904,x,x,x,x,x,x,x,x,x,x,x,x,x,,
55894456,Aderno (Adrano),Chiesa Madre,year,,,parish,,,,1090,1120,,,,,,,,,,,,,
55894456,Aderno (Adrano),Chiesa Madre,surface,,,parish,,,,0,1800,,,,,,,,,,,,,
55894456,Aderno (Adrano),Chiesa Madre,height,,,parish,,,,22,22,,,,,,,,,,,,,
55894456,Aderno (Adrano),Chiesa Madre,m3,,,parish,,,,,,,,,,,,,,,,,,
55894456,Aderno (Adrano),Chiesa Madre,guestimate,,,parish,,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
233181490,Agrigento,Cattedrale di San Gerlando,2823.721619,it.wikipedia.org/wiki/Cattedrale_di_San_Gerlando,http://www.openstreetmap.org/way/233181490,cathedral,,37.31400549,13.57641155,x,x,x,x,x,x,x,x,x,x,x,x,x,,
233181490,Agrigento,Cattedrale di San Gerlando,year,,,cathedral,,,,1087,1094,1125,1141,1240,1260,,,,,,,,,
233181490,Agrigento,Cattedrale di San Gerlando,surface,,,cathedral,,,,0,1100,,800,0,2300,,,,,,,,,
233181490,Agrigento,Cattedrale di San Gerlando,height,,,cathedral,,,,23,23,23,23,24,24,,,,,,,,,
233181490,Agrigento,Cattedrale di San Gerlando,m3,,,cathedral,,,,,,,,,,,,,,,,,,
233181490,Agrigento,Cattedrale di San Gerlando,guestimate,,,cathedral,,,,1,1,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
225625928,Alassio,Chiesa di Sant'Ambrogio,1288.350646,it.wikipedia.org/wiki/Collegiata_di_Sant'Ambrogio_(Alassio),http://www.openstreetmap.org/way/225625928,other,,44.00646934,8.170429337,x,x,x,x,x,x,x,x,x,x,x,x,x,,
225625928,Alassio,Chiesa di Sant'Ambrogio,year,,,other,,,,1000,1100,1455,1507,,,,,,,,,,,
225625928,Alassio,Chiesa di Sant'Ambrogio,surface,,,other,,,,0,1100,0,1300,,,,,,,,,,,
225625928,Alassio,Chiesa di Sant'Ambrogio,height,,,other,,,,18,18,19,19,,,,,,,,,,,
225625928,Alassio,Chiesa di Sant'Ambrogio,m3,,,other,,,,,,,,,,,,,,,,,,
225625928,Alassio,Chiesa di Sant'Ambrogio,guestimate,,,other,,,,1,1,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
354973999,Alassio,Chiesa parrocchiale di San Matteo,1492.835793,https://it.wikipedia.org/wiki/Chiesa_di_San_Matteo_(Laigueglia),http://www.openstreetmap.org/way/354973999,parish,,43.97941215,8.157574788,x,x,x,x,x,x,x,x,x,x,x,x,x,,
354973999,Alassio,Chiesa parrocchiale di San Matteo,year,,,parish,,,,600,700,,,,,,,,,,,,,
354973999,Alassio,Chiesa parrocchiale di San Matteo,surface,,,parish,,,,0,1300,,,,,,,,,,,,,
354973999,Alassio,Chiesa parrocchiale di San Matteo,height,,,parish,,,,19,19,,,,,,,,,,,,,
354973999,Alassio,Chiesa parrocchiale di San Matteo,m3,,,parish,,,,,,,,,,,,,,,,,,
354973999,Alassio,Chiesa parrocchiale di San Matteo,guestimate,,,parish,,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
183282811,Alcamo,Basilica di Maria Santissima Assunta,1620.750979,it.wikipedia.org/wiki/Basilica_di_Santa_Maria_Assunta_(Alcamo),http://www.openstreetmap.org/way/183282811,parish,,37.98129866,12.96560118,x,x,x,x,x,x,x,x,x,x,x,x,x,,
183282811,Alcamo,Basilica di Maria Santissima Assunta,year,,,parish,,,,1332,1402,1470,1475,,,,,,,,,,,
183282811,Alcamo,Basilica di Maria Santissima Assunta,surface,,,parish,,,,0,1300,,100,,,,,,,,,,,
183282811,Alcamo,Basilica di Maria Santissima Assunta,height,,,parish,,,,20,20,20,20,,,,,,,,,,,
