city,year,im2_cnt,im3_cnt
Mainz,0,0,0
Mainz,100,0,0
Mainz,200,0,0
Mainz,300,0,0
Mainz,400,0,0
Mainz,500,0,0
Mainz,600,0,0
Mainz,700,-9.8,-102.9
Mainz,800,363.8,4158.1
Mainz,900,386.74,4425.72400000001
Mainz,1000,4054.28257872847,84407.1068972074
Mainz,1100,2615.21551650964,53255.8738646974
Mainz,1200,1646.19047619047,46239.5238095239
Mainz,1300,4342.14285714287,93752.142857143
Mainz,1400,2357.85714285714,46247.8571428572
Mainz,1500,578.571428571429,10678.5714285714
Mainz,1600,0,0
Mainz,1700,0,0
Mainz,1800,0,0
Mainz,1900,0,0
Mainz,2000,0,0
Piacenza,0,0,0
Piacenza,100,0,0
Piacenza,200,0,0
Piacenza,300,0,0
Piacenza,400,1100,19800
Piacenza,500,0,0
Piacenza,600,0,0
Piacenza,700,0,0
Piacenza,800,1350,31900
Piacenza,900,4875,115324
Piacenza,1000,2475,54576.0000000001
Piacenza,1100,3535.67567567568,94554.5945945948
Piacenza,1200,4364.32432432433,111545.405405406
Piacenza,1300,837,16303
Piacenza,1400,663,12597
Piacenza,1500,1902.17391304348,55163.0434782608
Piacenza,1600,1597.82608695652,46336.9565217391
Piacenza,1700,0,0
Piacenza,1800,0,0
Piacenza,1900,0,0
Piacenza,2000,0,0
Winchester,0,0,0
Winchester,100,0,0
Winchester,200,0,0
Winchester,300,0,0
Winchester,400,0,0
Winchester,500,0,0
Winchester,600,0,0
Winchester,700,57.3300000000001,665.028
Winchester,800,174.67,2244.672
Winchester,900,176.25,2434.5
Winchester,1000,63.75,918
Winchester,1100,1891,33450
Winchester,1200,3606,114696
Winchester,1300,1460,45400
Winchester,1400,1340,46900
Winchester,1500,500,17500
Winchester,1600,0,0
Winchester,1700,0,0
Winchester,1800,0,0
Winchester,1900,0,0
Winchester,2000,0,0
Salon de Provence (Salon-de-Provence),0,0,0
Salon de Provence (Salon-de-Provence),100,0,0
Salon de Provence (Salon-de-Provence),200,0,0
Salon de Provence (Salon-de-Provence),300,0,0
Salon de Provence (Salon-de-Provence),400,0,0
Salon de Provence (Salon-de-Provence),500,0,0
Salon de Provence (Salon-de-Provence),600,0,0
Salon de Provence (Salon-de-Provence),700,0,0
Salon de Provence (Salon-de-Provence),800,0,0
Salon de Provence (Salon-de-Provence),900,0,0
Salon de Provence (Salon-de-Provence),1000,0,0
Salon de Provence (Salon-de-Provence),1100,0,0
Salon de Provence (Salon-de-Provence),1200,0,0
Salon de Provence (Salon-de-Provence),1300,83.5714285714286,1420.71428571429
Salon de Provence (Salon-de-Provence),1400,937.857142857145,15943.5714285714
Salon de Provence (Salon-de-Provence),1500,278.571428571429,4735.71428571429
Salon de Provence (Salon-de-Provence),1600,0,0
Salon de Provence (Salon-de-Provence),1700,0,0
Salon de Provence (Salon-de-Provence),1800,0,0
Salon de Provence (Salon-de-Provence),1900,0,0
Salon de Provence (Salon-de-Provence),2000,0,0
Passau,0,0,0
Passau,100,0,0
Passau,200,0,0
Passau,300,0,0
Passau,400,0,0
Passau,500,0,0
Passau,600,0,0
Passau,700,553.9,6092.9
Passau,800,19.1,210.1
Passau,900,0,0
Passau,1000,1661,22575
Passau,1100,0,0
Passau,1200,479.760869565217,10074.9782608696
Passau,1300,1947.23913043478,34557.0217391305
Passau,1400,112.565445026178,2363.87434554974
Passau,1500,259.162303664922,5442.40837696336
Passau,1600,128.272251308901,2693.71727748691
Passau,1700,0,0
Passau,1800,0,0
Passau,1900,0,0
Passau,2000,0,0
Kassel,0,0,0
Kassel,100,0,0
Kassel,200,0,0
Kassel,300,0,0
Kassel,400,0,0
Kassel,500,0,0
Kassel,600,0,0
Kassel,700,0,0
Kassel,800,0,0
Kassel,900,0,0
Kassel,1000,0,0
Kassel,1100,0,0
Kassel,1200,0,0
Kassel,1300,291.652173913044,4666.4347826087
Kassel,1400,1403.27090301003,25336.9498327759
Kassel,1500,1423.07692307692,29884.6153846154
Kassel,1600,100,2100
Kassel,1700,0,0
Kassel,1800,0,0
Kassel,1900,0,0
Kassel,2000,0,0
Brugge (Bruges),0,0,0
Brugge (Bruges),100,0,0
Brugge (Bruges),200,0,0
Brugge (Bruges),300,0,0
Brugge (Bruges),400,0,0
Brugge (Bruges),500,0,0
Brugge (Bruges),600,0,0
Brugge (Bruges),700,0,0
Brugge (Bruges),800,1048,15720
Brugge (Bruges),900,270,2160
Brugge (Bruges),1000,0,0
Brugge (Bruges),1100,1856.71794871795,33023.0769230769
Brugge (Bruges),1200,5463.28205128206,108793.923076923
Brugge (Bruges),1300,4924.99999999999,129375
Brugge (Bruges),1400,376.170568561873,7748.41137123745
Brugge (Bruges),1500,3578.17486860965,93009.2116579074
Brugge (Bruges),1600,726.507405637839,14684.4338270425
Brugge (Bruges),1700,344.147157190635,6882.94314381271
Brugge (Bruges),1800,0,0
Brugge (Bruges),1900,0,0
Brugge (Bruges),2000,0,0
Douai,0,0,0
Douai,100,0,0
Douai,200,0,0
Douai,300,0,0
Douai,400,0,0
Douai,500,0,0
Douai,600,0,0
Douai,700,0,0
Douai,800,0,0
Douai,900,0,0
Douai,1000,0,0
Douai,1100,2064.03761755486,43008.4890282132
Douai,1200,1193.87774294671,17436.4106583072
Douai,1300,231.206896551724,3005.68965517241
Douai,1400,235.877742946708,3066.41065830721
Douai,1500,0,0
Douai,1600,0,0
Douai,1700,0,0
Douai,1800,0,0
Douai,1900,0,0
Douai,2000,0,0
Epinal (Épinal),0,0,0
Epinal (Épinal),100,0,0
Epinal (Épinal),200,0,0
Epinal (Épinal),300,0,0
Epinal (Épinal),400,0,0
Epinal (Épinal),500,0,0
Epinal (Épinal),600,0,0
Epinal (Épinal),700,0,0
Epinal (Épinal),800,0,0
Epinal (Épinal),900,469.42,7041.3
Epinal (Épinal),1000,783.563277591971,13228.3655518395
Epinal (Épinal),1100,595.986622073579,11919.7324414716
Epinal (Épinal),1200,608.026755852843,12160.5351170569
Epinal (Épinal),1300,301.003344481606,6020.06688963211
Epinal (Épinal),1400,0,0
Epinal (Épinal),1500,0,0
Epinal (Épinal),1600,0,0
Epinal (Épinal),1700,0,0
Epinal (Épinal),1800,0,0
Epinal (Épinal),1900,0,0
Epinal (Épinal),2000,0,0
Montepulciano,0,0,0
Montepulciano,100,0,0
Montepulciano,200,0,0
Montepulciano,300,0,0
Montepulciano,400,0,0
Montepulciano,500,0,0
Montepulciano,600,325,6175
Montepulciano,700,643.5,12226.5
Montepulciano,800,331.5,6298.5
Montepulciano,900,0,0
Montepulciano,1000,1400,28000
Montepulciano,1100,294,5586
Montepulciano,1200,606,11514
Montepulciano,1300,1300,22700
Montepulciano,1400,600,11400
Montepulciano,1500,2100,41400
Montepulciano,1600,1700,37400
Montepulciano,1700,0,0
Montepulciano,1800,0,0
Montepulciano,1900,0,0
Montepulciano,2000,0,0
Turnhout,0,0,0
Turnhout,100,0,0
Turnhout,200,0,0
Turnhout,300,0,0
Turnhout,400,0,0
Turnhout,500,0,0
Turnhout,600,0,0
