osmid,cause,year,earthquake,war,fire,other_natural,other
13431536,fire,1000,FALSE,FALSE,TRUE,FALSE,FALSE
306856888,tower collapsed,1367,FALSE,FALSE,FALSE,FALSE,TRUE
391532327,largely crushed by rock,1227,FALSE,FALSE,FALSE,FALSE,TRUE
40865631,fire,1420,FALSE,FALSE,TRUE,FALSE,FALSE
97507601,fire,1120,FALSE,FALSE,TRUE,FALSE,FALSE
132407394,storm,1013,FALSE,FALSE,FALSE,TRUE,FALSE
247282293,fire,1312,FALSE,FALSE,TRUE,FALSE,FALSE
105666262,fire by lightning,1003,FALSE,FALSE,TRUE,FALSE,FALSE
89215766,damaged by fire,1419,FALSE,FALSE,TRUE,FALSE,FALSE
88143021,fire,1488,FALSE,FALSE,TRUE,FALSE,FALSE
217844841,fire 1086,1086,FALSE,FALSE,TRUE,FALSE,FALSE
46909808,damaged by fire,1164,FALSE,FALSE,TRUE,FALSE,FALSE
55213272,fire,881,FALSE,FALSE,TRUE,FALSE,FALSE
246039826,damaged by war,1488,FALSE,TRUE,FALSE,FALSE,FALSE
137472252,partly damaged by earthquake,1356,TRUE,FALSE,FALSE,FALSE,FALSE
270939309,partly damaged by earthquake,1356,TRUE,FALSE,FALSE,FALSE,FALSE
262233179,partly damaged by earthquake,1356,TRUE,FALSE,FALSE,FALSE,FALSE
397737238,damaged by fires,1350,FALSE,FALSE,TRUE,FALSE,FALSE
44152109,partly damaged by fire,1368,FALSE,FALSE,TRUE,FALSE,FALSE
219963004,fire,1010,FALSE,FALSE,TRUE,FALSE,FALSE
16082412,damaged by fire,1313,FALSE,FALSE,TRUE,FALSE,FALSE
20470246,damaged by vikings,881,FALSE,TRUE,FALSE,FALSE,FALSE
77493736,damaged by fire,1333,FALSE,FALSE,TRUE,FALSE,FALSE
109149444,fire,1198,FALSE,FALSE,TRUE,FALSE,FALSE
70193982,collapse of west,994,FALSE,FALSE,FALSE,FALSE,TRUE
70187992,fire,1084,FALSE,FALSE,TRUE,FALSE,FALSE
297797583,flood,1458,FALSE,FALSE,FALSE,TRUE,FALSE
122385636,partly damaged by fire,1081,FALSE,FALSE,TRUE,FALSE,FALSE
368793226,damaged by war,1430,FALSE,TRUE,FALSE,FALSE,FALSE
61507433,fire,1050,FALSE,FALSE,TRUE,FALSE,FALSE
22978953,fire in roof,1195,FALSE,FALSE,TRUE,FALSE,FALSE
30817310,fire,1278,FALSE,FALSE,TRUE,FALSE,FALSE
163457337,fire,1250,FALSE,FALSE,TRUE,FALSE,FALSE
161278134,fire,1286,FALSE,FALSE,TRUE,FALSE,FALSE
75793391,fire,1333,FALSE,FALSE,TRUE,FALSE,FALSE
34239929,fire,1114,FALSE,FALSE,TRUE,FALSE,FALSE
23071584,fire,1491,FALSE,FALSE,TRUE,FALSE,FALSE
40104619,fire,1283,FALSE,FALSE,TRUE,FALSE,FALSE
273360279,damaged by mayars,980,FALSE,TRUE,FALSE,FALSE,FALSE
108298512,damaged by flood,1137,FALSE,FALSE,FALSE,TRUE,FALSE
199966652,fire,1080,FALSE,FALSE,TRUE,FALSE,FALSE
