osmid,year,m2,hgt,gss_hgt,gss_m2,m3,nobs,phase,phaselength,firstobs,restphase,newbld,bldindex,year_lead,year_lag,dyear,heap100,heap20,heap25,heap10,sdev,delta,heap,year_crc1,splt10,year_lead_crc,year_lag_crc,year_crc2,year_crc3,year_crc4,year_crc5,year_crc6,year_crc7,year_crc8,year_crc9
100010435,700,560,10.6,TRUE,TRUE,5936,6,1,100,TRUE,FALSE,TRUE,1,800,-Inf,100,TRUE,FALSE,FALSE,FALSE,30,50,TRUE,651,,788,,694,703,711,735,686,668,712,740
100010435,800,-20,10.5,TRUE,TRUE,-210,6,2,100,FALSE,FALSE,FALSE,1,900,700,100,TRUE,FALSE,FALSE,FALSE,30,50,TRUE,755,,944,740,828,834,786,779,799,782,808,788
100010435,900,216,12.4,TRUE,TRUE,2678.4,6,3,100,FALSE,FALSE,FALSE,1,1000,800,100,TRUE,FALSE,FALSE,FALSE,30,50,TRUE,861,,975,788,848,890,911,923,898,944,887,944
100010435,1000,26,12.6,TRUE,TRUE,327.6,6,4,100,FALSE,FALSE,FALSE,1,1001,900,1,TRUE,FALSE,FALSE,FALSE,30,50,TRUE,978,,1023,944,949,953,939,994,987,967,988,975
100010435,1001,0,17,FALSE,FALSE,0,6,5,1,FALSE,FALSE,TRUE,2,1100,1000,99,TRUE,FALSE,FALSE,FALSE,30,50,TRUE,1027,,1103,975,1038,1016,1009,1016,1030,1011,1027,1023
100010435,1100,1300,17,FALSE,FALSE,22100,6,6,99,FALSE,FALSE,FALSE,2,Inf,1001,,TRUE,FALSE,FALSE,FALSE,30,50,TRUE,1156,,,1023,1083,1035,1094,1092,1120,1096,1077,1103
100013463,880,0,24,TRUE,TRUE,0,6,1,40,TRUE,FALSE,TRUE,1,920,-Inf,40,FALSE,TRUE,FALSE,FALSE,12,10,TRUE,899,,923,,893,884,860,857,869,881,882,889
100013463,920,2300,24,TRUE,TRUE,55200,6,2,40,FALSE,FALSE,FALSE,1,1130,880,210,FALSE,TRUE,FALSE,FALSE,12,10,TRUE,933,,1128,889,908,918,915,905,917,905,916,923
100013463,1130,0,26,TRUE,TRUE,0,6,3,210,FALSE,FALSE,TRUE,2,1150,920,20,FALSE,FALSE,FALSE,TRUE,,5,TRUE,1128,0,1148,923,1134,1133,1130,1131,1133,1128,1134,1128
100013463,1150,2800,26,TRUE,TRUE,72800,6,4,20,FALSE,FALSE,FALSE,2,1499,1130,349,FALSE,FALSE,TRUE,FALSE,15,12,TRUE,1133,,1499,1128,1161,1152,1156,1139,1163,1133,1135,1148
