city,name,started,finished,surface,façade height,,,,,,,,
forli,san mercuriale abbey,1173,1180,690,13,,list in wikipedia,,,,,,
pomposa,abbey,847,900,750,14,,list in wikipedia,,,,,,
roma,bas di santa prassede,780,822,1320,15,,list in wikipedia,,,,,,
modena,duomo,1099,1455,1660,22,,list in wikipedia,,,,,,
asti,duomo,1280,1320,2900,24,,list in wikipedia,,,,,,
lucca,duomo,1060,1400,3440,28,,list in wikipedia,,,,,,
piacenza,duomo,1123,1233,3600,32,,list in wikipedia,,,,,,
parma,duomo,1055,1178,3300,29,,list in wikipedia,,,,,,
moreale,duomo,1174,1182,3900,35,,list in wikipedia,,,,,,
roma,santa maria maggiore,432,440,3091,28,,"only the older part, not the renaissance addition",,,,,,
ferrara,duomo,1113,1135,4400,27,,façade height determined from photograph,,,,,,
milaan,duomo,1388,1577,10200,45,,list in wikipedia,,,,,,
roma,san paolo fuori la mura,386,395,7899,35,,source,"walther buchowski (1967) Handbuch der Kirchen Roms. Bruder Hollinek, Wien",,,,,
roma,san giovanni in laterano,320,350,5557,33,,source,"walther buchowski (1967) Handbuch der Kirchen Roms. Bruder Hollinek, Wien",,,,,
torcello,basilica santa maria assunta,864,865,1110,22.5,,source,"maurizia vecchi (1982) Torcello, nuove richerche.Bretschneider, Roma",,,,,
ravenna,"basilica ursiana, duomo",402,407,2242,23.8,,source,"patrizia Martinelli (1964) Caratteristische architettoniche degli edifici paleocristiani di ravenna. Dante, Ravenna",,,,,
ravenna,S. Francesco,450,500,1118,18.3,,source,"patrizia Martinelli (1964) Caratteristische architettoniche degli edifici paleocristiani di ravenna. Dante, Ravenna",,,,,
ravenna,S. Apollinare Nuovo,425,434,1003,18,,source,"patrizia Martinelli (1964) Caratteristische architettoniche degli edifici paleocristiani di ravenna. Dante, Ravenna",,,,,
ravenna,S. Apollinare in Classe,532,549,1640,24,,source,"patrizia Martinelli (1964) Caratteristische architettoniche degli edifici paleocristiani di ravenna. Dante, Ravenna",,,,,
ravenna,S. Agata Maggiore,450,570,1218,18,,source,"patrizia Martinelli (1964) Caratteristische architettoniche degli edifici paleocristiani di ravenna. Dante, Ravenna",,,,,
roma ,old saint peter,319,354,7140,34,,source,"walther buchowski (1967) Handbuch der Kirchen Roms. Bruder Hollinek, Wien",,,,,
roma,S Vitale,400,500,1200,17,,source,"Handbuch der Kirchen Roms, vol 4. Bruder Hollinek, Wien",,,,,
roma,S Giovanni e Paolo,440,461,1200,21,,source,"Handbuch der Kirchen Roms, vol 2. Bruder Hollinek, Wien",,,,,
bologna,S Petronio,1390,1421,7800,51,,source,"Angelo Gatti (1913) La basilica Petroniana. Paola Neri, Bolgogna",,,,,
pisa,Santa Maria Assunta,1063,1140,4100,32,,façade height determined from photograph,,,,,,
firenze,Basilica di Santa Croce,1295,1385,5300,39,,façade height determined from photograph from before 1864,,,,,,
aosta,cathedral,1480,1520,1600,25,,source,from plan in Varela & Kroesen,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
