1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,Department,Latitude,Longitude,Monument,Priority,Region,id,name
,,,,,,,,,,,,,,,,,,,,Somme,49.821,2.9581,Sainte-Benoîte,4,Outliers,Synopsis.php?id=FALVY,Falvy 
,,,,,,,,,,88.0,,,55.0,,,,,,,Oise,49.284,1.8229,Sainte-Marie-Madeleine,1,Beauvaisis,Synopsis.php?id=TRIE-C,Trie-Chateau 
,,,,,,,,,,,,,,,,,,,,Marne,48.948,3.6194,Saint-Malo,4,Marne,Synopsis.php?id=VERDON,Verdon 
,,,,,,,,,,,,,,,,,,,,Eure-et-Loir,48.353,1.9100,Saint-Pierre,4,Perche,Synopsis.php?id=ARDELU,Ardelu 
,,,,,,,,,,,,,,,,,,,,Eure-et-Loir,48.091,1.4909,Saint-Martin,4,Perche,Synopsis.php?id=CIVRY,Civry 
,,,,,,,,,,,,,,,,,,,,Yonne,48.157,3.2351,Saint-Martin,4,Yonne,Synopsis.php?id=COLLEMIE,Collemiers 
,,,,,,,,,,,,,,,80.0,,,,,Val-de-Marne,48.794,2.5304,Saint-Pierre,2,Parisis,Synopsis.php?id=CHENNEVI,Chennevieres-sur-Marne 
,,,,,,,36.0,,,,,,,,,,,,,Oise,49.288,1.8351,Notre-Dame-de-l'Assomption,3,Beauvaisis,Synopsis.php?id=TRIE-V,Trie-la-Ville 
,,,,,,,,,,,,,,,,,,,,Oise,49.403,2.3264,La Nativité,4,Beauvaisis,Synopsis.php?id=NEUVIL-H,"Neuville-en-Hez, La "
,,,,,,,,,,,,,,,,,,,,Val-d'Oise,49.119,2.0014,Notre-Dame-de-l'Assomption,4,Vexin,Synopsis.php?id=FREMECOU,Fremecourt 
,,,,,,,,,,,,60.0,77.0,,,,,,,Seine-et-Marne,48.550,3.0659,Saint-Éliphe,2,Provinois,Synopsis.php?id=RAMPILLO,Rampillon 
,,,,,,,,,,,,,22.0,,,28.0,40.0,,,Val-d'Oise,49.084,2.0055,Notre-Dame-de-l'Assomption,3,Vexin,Synopsis.php?id=MONTGERO,Montgeroult 
,,,,,,,,,,,,,,,,,,,,Loiret,48.238,2.2460,Saint-Denis,4,Gâtinais,Synopsis.php?id=ENGENVIL,Engenville 
,,,,,,,,,,,,,,,,,,,,Seine-et-Marne,48.785,2.5402,Notre-Dame-de-l'Assomption,4,Parisis,Synopsis.php?id=ORMESSON,Ormesson-sur-Marne 
,,,,,,,,,,,,,,,,,,,,Seine-et-Marne,48.459,2.8001,Saint-Osmane,4,Provinois,Synopsis.php?id=FERICY,Fericy 
,,,,,,,,,,,,,,,,,,,,Essonne,48.438,2.3564,Saint-Martin,4,Parisis,Synopsis.php?id=VAYRES-E,Vayres-sur-Essonne 
,,,,,,,,,,,,,,,,,,,,Aisne,49.415,3.2432,La Nativité,4,Soissonais,Synopsis.php?id=CUISY-A,Cuisy-en-Almont 
,,,,,,,,,,,,,,,,,,,,Oise,49.328,2.0046,Saint-Nicolas de Marcheroux Grange,4,Beauvaisis,Synopsis.php?id=BEAUMT-N,Beaumont-les-Nonains 
,,,,,,,,,,45.0,,83.0,64.0,42.0,66.0,98.0,,,,Val-d'Oise,49.145,2.2876,Saint-Laurent,1,Therain,Synopsis.php?id=BEAUMT-O,Beaumont-sur-Oise 
,,,,,,,,,,,,,,,,35.0,19.0,34.0,,Loiret,48.136,2.4746,Saint-Barthélémy,2,Gâtinais,Synopsis.php?id=BEAUMT-G,Beaumont-du-Gatinais 
,,9.0,23.0,,,,92.0,80.0,,,,14.0,,,,,,,,Oise,49.103,2.9542,Saints-Pierre-et-Paul,2,Soissonais,Synopsis.php?id=ACY-M,Acy-en-Multien 
,,,,,,,,,,,,,,,,,,,,Marne,48.894,3.9128,Saint-Laurent,4,Marne,Synopsis.php?id=GIVRY-L,Givry-les-Loisy 
,,,,,,,,,70.0,35.0,,36.0,,,,,30.0,,,Seine-et-Marne,48.181,2.7313,Saint-Clair,3,Gâtinais,Synopsis.php?id=SOUPPES,Souppes-sur-Loing 
,,,,,,,,,,,,,,,,,,,,Eure-et-Loir,48.795,1.4980,Sainte-Vierge,4,Perche,Synopsis.php?id=BU,Bu 
,,,,,,,,,,,,,,,,,,,,Oise,49.520,2.6061,Saint-Léonard,4,Noyonnais,Synopsis.php?id=MENEVILL,Menevillers 
,,,,,,,25.0,,,,,,90.0,22.0,,,35.0,,,Val-d'Oise,49.057,2.0183,Notre-Dame,4,Vexin,Synopsis.php?id=PUISEU-P,Puiseux-Pontoise 
,,,,,,20.0,71.0,72.0,,,,,,,,,,,,Eure,49.024,1.1510,Notre-Dame,2,Outliers,Synopsis.php?id=EVREUX,Evreux 
,,,,,,,,,,,,,,,,,,,,Aisne,49.297,3.1298,Saint-Pierre,4,Soissonais,Synopsis.php?id=PUISEU-R,Puiseux-en-Retz 
,,,,,,,,,,,,,,,,,,,,Yvelines,48.834,2.0416,Chapelle Saint-Nicolas,4,Parisis,Synopsis.php?id=RENNEMOU,Rennemoulin 
,,,,,,,,16.0,15.0,12.0,,80.0,45.0,,,,,,,Marne,48.994,3.9635,Saint-Nicaise,2,Châlonais,Synopsis.php?id=CUIS,Cuis 
,,,,,,,,,,,,,,,,,,,,Oise,49.426,2.1935,Saint-Laurent,4,Beauvaisis,Synopsis.php?id=LAVERSIN,Laversines 
,,,,,,,,,,,,,,,,,,,,Essonne,48.685,2.3493,Saint-Martin,4,Parisis,Synopsis.php?id=SAVIGN-O,Savigny-sur-Orge 
,,,,,,,,,,,,,,,,,,,,Aisne,49.394,3.6308,Saint-Jean-Baptiste,4,Soissonais,Synopsis.php?id=PONT-A,Pont-Arcy 
,,,,,,,,,,,,,,,,,,,,Seine-Maritime,49.545,0.1928,Saint-Joseph,4,Outliers,Synopsis.php?id=MONTIVIL,Montivilliers 
,,,,,,,30.0,,,38.0,,,,,,,,,,Seine-et-Marne,48.371,2.8220,Saint-Loup,3,Provinois,Synopsis.php?id=PONT-L,Pont-Loup 
,,,,,,,,,,,,,,,,,,,,Marne,49.244,3.7815,Saint-Martin,4,Reimois,Synopsis.php?id=SAVIGN-A,Savigny-sur-Ardres 
,,,,,,,,,,,,,,,,,,,,Seine-et-Marne,48.393,2.8250,Saint-Pierre,4,Provinois,Synopsis.php?id=CELLE-S,"Celle-sur-Seine, La "
,,,,,,,,,,,,,,,,,,,,Yonne,48.183,3.4440,La Nativité,4,Yonne,Synopsis.php?id=PONT-V,Pont-sur-Vanne 
,,,,,,,,,22.0,280.0,200.0,280.0,180.0,90.0,200.0,180.0,,24.0,,Yvelines,48.990,1.7202,Notre-Dame,1,Meulanois,Synopsis.php?id=MANTES-J,Mantes-la-Jolie 
,,,,,,,,,,,,,,,,,,,,Seine-et-Marne,48.298,2.9393,Saint-Pierre,4,Yonne,Synopsis.php?id=THOURY-F,Thoury-Ferottes 
,,,,,,,,,,,,,,,,16.0,35.0,,,Seine-et-Marne,48.599,2.5597,Saint-Germain-d'Auxerre,3,Parisis,Synopsis.php?id=SAVIGN-T,Savigny-le-Temple 
,,,,,,,,,,,,,68.0,18.0,,,,,,Seine-et-Marne,48.669,3.2832,Saint-Martin,2,Brie,Synopsis.php?id=CHAMPCEN,Champcenest 
,,,,,,,,,,,,,,,,,,,,Marne,48.875,4.3098,Saint-Étienne,4,Châlonais,Synopsis.php?id=NUISEMEN,Nuisement-sur-Coole 
,,,,,,,,,,40.0,18.0,30.0,,,,,,,,Aisne,49.357,3.8375,Saints-Cyr-et-Julitte,3,Soissonais,Synopsis.php?id=GUYENCOU,Guyencourt 
,,,,,,,,,,,,,,,,,,,,Oise,49.197,2.2076,Saint-Denis,4,Therain,Synopsis.php?id=BORNEL,Bornel 
