ctr,year,pop
uk,500,0.75
fr,500,4.75
be,500,0.3
nl,500,0.2
de,500,3.25
ch,500,0.3
it,500,4.25
es,500,4
uk,600,0.68
fr,600,4.5
be,600,0.3
nl,600,0.2
de,600,3
ch,600,0.3
it,600,3.5
es,600,3.5
uk,700,0.71
fr,700,4.75
be,700,0.3
nl,700,0.2
de,700,3.125
ch,700,0.3
it,700,3.75
es,700,3.6
uk,800,0.74
fr,800,5
be,800,0.3
nl,800,0.2
de,800,3.25
ch,800,0.3
it,800,4
es,800,3.75
uk,900,1.22
fr,900,5.75
be,900,0.35
nl,900,0.25
de,900,3.375
ch,900,0.3
it,900,4.5
es,900,3.88
uk,1000,1.7
fr,1000,6.5
be,1000,0.4
nl,1000,0.3
de,1000,3.5
ch,1000,0.3
it,1000,5
es,1000,4
uk,1100,2.1
fr,1100,7.75
be,1100,0.6
nl,1100,0.4
de,1100,4
ch,1100,0.4
it,1100,5.75
es,1100,4.5
uk,1200,2.9
fr,1200,10.5
be,1200,0.9
nl,1200,0.6
de,1200,6
ch,1200,0.5
it,1200,7.25
es,1200,5.5
uk,1300,4.2
fr,1300,16
be,1300,1.25
nl,1300,0.8
de,1300,9
ch,1300,0.8
it,1300,10
es,1300,7.5
uk,1400,2.9
fr,1400,11
be,1400,0.8
nl,1400,0.6
de,1400,6.5
ch,1400,0.6
it,1400,7
es,1400,5.5
uk,1500,4.2
fr,1500,15
be,1500,1.25
nl,1500,0.9
de,1500,9
ch,1500,0.8
it,1500,10
es,1500,6.5
uk,1600,5
fr,1600,18.5
be,1600,1.5
nl,1600,1.5
de,1600,12
ch,1600,1
it,1600,12
es,1600,8.5
uk,1700,6.75
fr,1700,22
be,1700,1.75
nl,1700,2
de,1700,13
ch,1700,1.25
it,1700,13
es,1700,8
uk,1800,10.5
fr,1800,29
be,1800,3.25
nl,1800,2
de,1800,18
ch,1800,1.75
it,1800,19
es,1800,11.5
