ctr,year,pop,decade,broadberry,bd,pop_spl
uk,,,20,,pre,
fr,,,20,,pre,
be,,,20,,pre,
nl,,,20,,pre,
de,,,20,,pre,
ch,,,20,,pre,
it,,,20,,pre,
uk,,,40,,pre,
fr,,,40,,pre,
be,,,40,,pre,
nl,,,40,,pre,
de,,,40,,pre,
ch,,,40,,pre,
it,,,40,,pre,
uk,,,60,,pre,
fr,,,60,,pre,
be,,,60,,pre,
nl,,,60,,pre,
de,,,60,,pre,
ch,,,60,,pre,
it,,,60,,pre,
uk,,,80,,pre,
fr,,,80,,pre,
be,,,80,,pre,
nl,,,80,,pre,
de,,,80,,pre,
ch,,,80,,pre,
it,,,80,,pre,
uk,,,100,,pre,
fr,,,100,,pre,
be,,,100,,pre,
nl,,,100,,pre,
de,,,100,,pre,
ch,,,100,,pre,
it,,,100,,pre,
uk,,,120,,pre,
fr,,,120,,pre,
be,,,120,,pre,
nl,,,120,,pre,
de,,,120,,pre,
ch,,,120,,pre,
it,,,120,,pre,
uk,,,140,,pre,
fr,,,140,,pre,
be,,,140,,pre,
nl,,,140,,pre,
de,,,140,,pre,
ch,,,140,,pre,
it,,,140,,pre,
uk,,,160,,pre,
fr,,,160,,pre,
be,,,160,,pre,
nl,,,160,,pre,
de,,,160,,pre,
ch,,,160,,pre,
it,,,160,,pre,
uk,,,180,,pre,
fr,,,180,,pre,
be,,,180,,pre,
nl,,,180,,pre,
de,,,180,,pre,
ch,,,180,,pre,
it,,,180,,pre,
uk,,,200,,pre,
fr,,,200,,pre,
be,,,200,,pre,
nl,,,200,,pre,
de,,,200,,pre,
ch,,,200,,pre,
it,,,200,,pre,
uk,,,220,,pre,
fr,,,220,,pre,
be,,,220,,pre,
nl,,,220,,pre,
de,,,220,,pre,
ch,,,220,,pre,
it,,,220,,pre,
uk,,,240,,pre,
fr,,,240,,pre,
be,,,240,,pre,
nl,,,240,,pre,
de,,,240,,pre,
ch,,,240,,pre,
it,,,240,,pre,
uk,,,260,,pre,
fr,,,260,,pre,
be,,,260,,pre,
nl,,,260,,pre,
de,,,260,,pre,
ch,,,260,,pre,
it,,,260,,pre,
uk,,,280,,pre,
fr,,,280,,pre,
be,,,280,,pre,
nl,,,280,,pre,
de,,,280,,pre,
ch,,,280,,pre,
it,,,280,,pre,
uk,,,300,,pre,
fr,,,300,,pre,
be,,,300,,pre,
nl,,,300,,pre,
de,,,300,,pre,
ch,,,300,,pre,
it,,,300,,pre,
uk,,,320,,pre,
fr,,,320,,pre,
be,,,320,,pre,
nl,,,320,,pre,
de,,,320,,pre,
ch,,,320,,pre,
it,,,320,,pre,
uk,,,340,,pre,
fr,,,340,,pre,
be,,,340,,pre,
nl,,,340,,pre,
de,,,340,,pre,
ch,,,340,,pre,
it,,,340,,pre,
uk,,,360,,pre,
fr,,,360,,pre,
be,,,360,,pre,
nl,,,360,,pre,
de,,,360,,pre,
ch,,,360,,pre,
it,,,360,,pre,
uk,,,380,,pre,
fr,,,380,,pre,
be,,,380,,pre,
nl,,,380,,pre,
de,,,380,,pre,
ch,,,380,,pre,
it,,,380,,pre,
uk,,,400,,pre,
fr,,,400,,pre,
be,,,400,,pre,
nl,,,400,,pre,
de,,,400,,pre,
ch,,,400,,pre,
it,,,400,,pre,
uk,,,420,,pre,
fr,,,420,,pre,
be,,,420,,pre,
nl,,,420,,pre,
de,,,420,,pre,
ch,,,420,,pre,
it,,,420,,pre,
uk,,,440,,pre,
fr,,,440,,pre,
be,,,440,,pre,
nl,,,440,,pre,
de,,,440,,pre,
ch,,,440,,pre,
it,,,440,,pre,
uk,,,460,,pre,
fr,,,460,,pre,
be,,,460,,pre,
nl,,,460,,pre,
de,,,460,,pre,
ch,,,460,,pre,
it,,,460,,pre,
uk,,,480,,pre,
fr,,,480,,pre,
be,,,480,,pre,
nl,,,480,,pre,
de,,,480,,pre,
ch,,,480,,pre,
it,,,480,,pre,
uk,500,750,500,,pre,750
fr,500,4750,500,,pre,4750
be,500,300,500,,pre,300
nl,500,200,500,,pre,200
de,500,3250,500,,pre,3250
ch,500,300,500,,pre,300
it,500,4250,500,,pre,4250
uk,,,520,,pre,719.147882979324
fr,,,520,,pre,4628.10343355437
be,,,520,,pre,299.609324972925
nl,,,520,,pre,199.652019654224
de,,,520,,pre,3147.24805900482
ch,,,520,,pre,299.950671628907
it,,,520,,pre,3945.33277391424
uk,,,540,,pre,698.132836677517
fr,,,540,,pre,4547.73348505587
be,,,540,,pre,299.414178284537
nl,,,540,,pre,199.478256591571
de,,,540,,pre,3075.41735525659
ch,,,540,,pre,299.926010485054
it,,,540,,pre,3736.18743506653
uk,,,560,,pre,685.368623282196
fr,,,560,,pre,4502.81517852576
be,,,560,,pre,299.414178284537
nl,,,560,,pre,199.478256591571
de,,,560,,pre,3029.54306242552
ch,,,560,,pre,299.926010485054
it,,,560,,pre,3601.58963074025
uk,,,580,,pre,679.641737573201
fr,,,580,,pre,4488.33298391486
be,,,580,,pre,299.609324972925
nl,,,580,,pre,199.652019654224
de,,,580,,pre,3005.55508101823
ch,,,580,,pre,299.950671628907
it,,,580,,pre,3526.55455370893
uk,600,680,600,,pre,680
fr,600,4500,600,,pre,4500
be,600,300,600,,pre,300
nl,600,200,600,,pre,200
de,600,3000,600,,pre,3000
ch,600,300,600,,pre,300
it,600,3500,600,,pre,3500
uk,,,620,,pre,685.376703284692
fr,,,620,,pre,4533.4474417587
be,,,620,,pre,300.547801012238
nl,,,620,,pre,200.488191652352
de,,,620,,pre,3009.65388671836
ch,,,620,,pre,300.069073348484
it,,,620,,pre,3512.73026764803
uk,,,640,,pre,693.617978730057
fr,,,640,,pre,4582.31852238223
be,,,640,,pre,301.057369006519
nl,,,640,,pre,200.942579428436
de,,,640,,pre,3030.82752561914
ch,,,640,,pre,300.133227126638
it,,,640,,pre,3554.60369325276
uk,,,660,,pre,702.224659041801
fr,,,660,,pre,4639.61599760337
be,,,660,,pre,301.292845538874
nl,,,660,,pre,201.152644060646
de,,,660,,pre,3059.71600630894
ch,,,660,,pre,300.162841188593
it,,,660,,pre,3615.30977821134
uk,,,680,,pre,708.582943291027
fr,,,680,,pre,4698.05752662031
be,,,680,,pre,301.018140814218
nl,,,680,,pre,200.907589990372
de,,,680,,pre,3092.4458152149
ch,,,680,,pre,300.12829173371
it,,,680,,pre,3684.22464656974
uk,700,710,700,,pre,710
fr,700,4750,700,,pre,4750
be,700,300,700,,pre,300
nl,700,200,700,,pre,200
de,700,3125,700,,pre,3125
ch,700,300,700,,pre,300
it,700,3750,700,,pre,3750
uk,,,720,,pre,705.338429726911
fr,,,720,,pre,4790.38043880016
be,,,720,,pre,298.207102628187
nl,,,720,,pre,198.404295994597
de,,,720,,pre,3154.09392069259
ch,,,720,,pre,299.773156642157
it,,,720,,pre,3803.6388130486
uk,,,740,,pre,699.558774730388
fr,,,740,,pre,4825.70025945075
be,,,740,,pre,296.386295615193
nl,,,740,,pre,196.787051527596
de,,,740,,pre,3179.95620025797
ch,,,740,,pre,299.541559066145
it,,,740,,pre,3848.47043976101
uk,,,760,,pre,699.00230579147
fr,,,760,,pre,4865.64167063442
be,,,760,,pre,295.460814091525
nl,,,760,,pre,195.966315798846
de,,,760,,pre,3203.75051591669
ch,,,760,,pre,299.423365493971
it,,,760,,pre,3891.31072310782
uk,,,780,,pre,710.069765089683
fr,,,780,,pre,4920.22363466325
be,,,780,,pre,296.347676070227
nl,,,780,,pre,196.752785677268
de,,,780,,pre,3226.68366951154
ch,,,780,,pre,299.53663340261
it,,,780,,pre,3939.3133385332
uk,800,740,800,,pre,740
fr,800,5000,800,,pre,5000
be,800,300,800,,pre,300
nl,800,200,800,,pre,200
de,800,3250,800,,pre,3250
ch,800,300,800,,pre,300
it,800,4000,800,,pre,4000
uk,,,820,,pre,795.782721850863
fr,,,820,,pre,5112.99407946137
be,,,820,,pre,307.098443461138
nl,,,820,,pre,206.377415362845
de,,,820,,pre,3274.64251013413
ch,,,820,,pre,300.839824578944
it,,,820,,pre,4079.1973501708
uk,,,840,,pre,876.692478862658
fr,,,840,,pre,5254.08526349176
be,,,840,,pre,316.905944626789
nl,,,840,,pre,215.438921903709
de,,,840,,pre,3300.22089298159
ch,,,840,,pre,301.706805704144
it,,,840,,pre,4174.21492032281
uk,,,860,,pre,979.109973207446
fr,,,860,,pre,5414.22230821625
be,,,860,,pre,328.246160859058
nl,,,860,,pre,226.392001846838
de,,,860,,pre,3325.9896838279
ch,,,860,,pre,302.153654153555
it,,,860,,pre,4279.89175141659
uk,,,880,,pre,1096.95424908307
fr,,,880,,pre,5583.32351967412
be,,,880,,pre,339.786024281661
nl,,,880,,pre,238.296682832889
de,,,880,,pre,3351.18000025394
ch,,,880,,pre,301.731613272267
it,,,880,,pre,4390.57276175178
uk,900,1220,900,,pre,1220
fr,900,5750,900,,pre,5750
be,900,350,900,,pre,350
nl,900,250,900,,pre,250
de,900,3375,900,,pre,3375
ch,900,300,900,,pre,300
it,900,4500,900,,pre,4500
uk,,,920,,pre,1335.83063109217
fr,,,920,,pre,5904.70807676699
be,,,920,,pre,357.800010856338
nl,,,920,,pre,260.464379180072
de,,,920,,pre,3397.07016142391
ch,,,920,,pre,296.888571542389
it,,,920,,pre,4603.00092229574
uk,,,940,,pre,1440.87856175348
fr,,,940,,pre,6050.17752804071
be,,,940,,pre,364.508414025981
nl,,,940,,pre,269.940929972809
de,,,940,,pre,3418.74701156521
ch,,,940,,pre,293.717629948278
it,,,940,,pre,4700.97650815851
uk,,,960,,pre,1535.38214958198
fr,,,960,,pre,6192.94271578921
be,,,960,,pre,372.209803888617
nl,,,960,,pre,279.127805594734
de,,,960,,pre,3441.86211813712
ch,,,960,,pre,292.099247039002
it,,,960,,pre,4797.29665222704
uk,,,980,,pre,1620.86718844817
fr,,,980,,pre,6340.23599034915
be,,,980,,pre,383.176829540421
nl,,,980,,pre,288.837322483502
de,,,980,,pre,3468.29778700056
ch,,,980,,pre,293.625875527067
it,,,980,,pre,4895.64082831687
uk,1000,1700,1000,,pre,1700
fr,1000,6500,1000,,pre,6500
be,1000,400,1000,,pre,400
nl,1000,300,1000,,pre,300
de,1000,3500,1000,,pre,3500
ch,1000,300,1000,,pre,300
it,1000,5000,1000,,pre,5000
uk,,,1020,,pre,1776.03397005361
fr,,,1020,,pre,6680.39615975748
be,,,1020,,pre,425.127799375291
nl,,,1020,,pre,313.538558371503
de,,,1020,,pre,3540.34980523235
ch,,,1020,,pre,312.620742955798
it,,,1020,,pre,5114.49046519679
uk,,,1040,,pre,1851.36127712301
fr,,,1040,,pre,6888.07942610908
be,,,1040,,pre,458.619410934264
nl,,,1040,,pre,329.894429474906
de,,,1040,,pre,3598.40400935627
ch,,,1040,,pre,330.688003400721
it,,,1040,,pre,5242.72147164889
uk,,,1060,,pre,1928.44362436257
fr,,,1060,,pre,7129.98274715422
be,,,1060,,pre,499.76372374564
nl,,,1060,,pre,349.436309258064
de,,,1060,,pre,3685.39293323338
ch,,,1060,,pre,352.666895443173
it,,,1060,,pre,5388.46166683115
uk,,,1080,,pre,2010.18897113259
fr,,,1080,,pre,7414.13606860516
be,,,1080,,pre,547.472551476619
nl,,,1080,,pre,372.618831389476
de,,,1080,,pre,3814.1021273949
ch,,,1080,,pre,376.615376624493
it,,,1080,,pre,5555.94535067428
uk,1100,2100,1100,,pre,2100
fr,1100,7750,1100,,pre,7750
be,1100,600,1100,,pre,600
nl,1100,400,1100,,pre,400
de,1100,4000,1100,,pre,4000
ch,1100,400,1100,,pre,400
it,1100,5750,1100,,pre,5750
uk,,,1120,,pre,2202.22449506358
fr,,,1120,,pre,8147.64274017552
be,,,1120,,pre,655.266459135187
nl,,,1120,,pre,432.094661744128
de,,,1120,,pre,4258.52688547687
ch,,,1120,,pre,420.468796667537
it,,,1120,,pre,5975.52567798591
uk,,,1140,,pre,2323.52650770375
fr,,,1140,,pre,8613.94849567633
