,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osmid,central city,city,osmname,,surface,osmwikipedia,osmlink,category,lat,lon,,,,,,,,,,,,,,,,,,,
303507574,Amiens,Doullens,Église Notre-Dame,river,1000.222998,http://www.mairie-doullens.fr/eglise_notre_dame.aspx,http://www.openstreetmap.org/way/303507574,parish,50.15502938,2.341736702,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
303507574,Amiens,Doullens,Église Notre-Dame,,year,,,,,,1100,1170,,,,,,,,,,,,,,,,,
303507574,Amiens,Doullens,Église Notre-Dame,,surface,,,,,,0,530,,,,,,,,,,,,,,,,,
303507574,Amiens,Doullens,Église Notre-Dame,,height,,,,,,10,10,,,,,,,,,,,,,,,,,
303507574,Amiens,Doullens,Église Notre-Dame,,m3,,,,,,,,,,,,,,,,,,,,,,,,
303507574,Amiens,Doullens,Église Notre-Dame,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144640668,Amiens,Ourscamp,"Chapelle, abbaye d' ourscamp",river,1020.28599,https://fr.wikipedia.org/wiki/Abbaye_Notre-Dame_d%27Ourscamp,http://www.openstreetmap.org/way/144640668,conventual,49.53467509,2.975333235,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
144640668,Amiens,Ourscamp,"Chapelle, abbaye d' ourscamp",,year,,,,,,1129,1150,1200,1300,,,,,,,,,,,,,,,
144640668,Amiens,Ourscamp,"Chapelle, abbaye d' ourscamp",,surface,,,,,,0,1270,0,2400,,,,,,,,,,,,,,,
144640668,Amiens,Ourscamp,"Chapelle, abbaye d' ourscamp",,height,,,,,,16,16,16,16,,,,,,,,,,,,,,,
144640668,Amiens,Ourscamp,"Chapelle, abbaye d' ourscamp",,m3,,,,,,,,,,,,,,,,,,,,,,,,
144640668,Amiens,Ourscamp,"Chapelle, abbaye d' ourscamp",,guestimate,,,,,,1,1,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332941188,Amiens,Beaucamp-le-vieux,Église Saint-Martin,land,1057.091756,NA,http://www.openstreetmap.org/way/332941188,parish,49.84399785,1.77956858,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
332941188,Amiens,Beaucamp-le-vieux,Église Saint-Martin,,year,,,,,,1200,1500,"huidige kerk 19e eeuws, vermoedelijk wel iets ME maar niks over te vinden",,,,,,,,,,,,,,,,
332941188,Amiens,Beaucamp-le-vieux,Église Saint-Martin,,surface,,,,,,0,530,,,,,,,,,,,,,,,,,
332941188,Amiens,Beaucamp-le-vieux,Église Saint-Martin,,height,, ,,,,10,10,,,,,,,,,,,,,,,,,
332941188,Amiens,Beaucamp-le-vieux,Église Saint-Martin,,m3,,,,,,,,,,,,,,,,,,,,,,,,
332941188,Amiens,Beaucamp-le-vieux,Église Saint-Martin,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329719152,Amiens,Moreuil,Église Saint-Vaast,river,1070.85886,https://fr.wikipedia.org/wiki/Abbaye_Saint-Vaast_de_Moreuil,http://www.openstreetmap.org/way/329719152,conventual,49.77168435,2.48400689,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
329719152,Amiens,Moreuil,Église Saint-Vaast,,year,,,,,,1140,1150,1370,1400,,,,,,,,,,,,,,,
329719152,Amiens,Moreuil,Église Saint-Vaast,,surface,,,,,,0,310,0,580,,,,,,,,,,,,,,,
329719152,Amiens,Moreuil,Église Saint-Vaast,,height,,,,,,8,8,11,11,,,,,,,,,,,,,,,
329719152,Amiens,Moreuil,Église Saint-Vaast,,m3,,,,,,,,,,,,,,,,,,,,,,,,
329719152,Amiens,Moreuil,Église Saint-Vaast,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294467400,Amiens,Long,Église Saint-Jean-Baptiste,river,1082.091007,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Jean-Baptiste_de_Long,http://www.openstreetmap.org/way/294467400,parish,50.03978903,1.98184656,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
294467400,Amiens,Long,Église Saint-Jean-Baptiste,,year,,,,,,1100,1200,1400,1500,,,,,,,,,,,,,,,
294467400,Amiens,Long,Église Saint-Jean-Baptiste,,surface,,,,,,0,310,0,580,,,,,,,,,,,,,,,
294467400,Amiens,Long,Église Saint-Jean-Baptiste,,height,,,,,,8,8,11,11,,,,,,,,,,,,,,,
294467400,Amiens,Long,Église Saint-Jean-Baptiste,,m3,,,,,,,,,,,,,,,,,,,,,,,,
294467400,Amiens,Long,Église Saint-Jean-Baptiste,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363512505,Amiens,Beauval,Église Saint-Nicolas,land,1109.248831,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Nicolas_de_Beauval,http://www.openstreetmap.org/way/363512505,parish,50.10894411,2.332723791,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
363512505,Amiens,Beauval,Église Saint-Nicolas,,year, ,,,,,1200,1500,,,,,,,,,,,,,,,,,
363512505,Amiens,Beauval,Église Saint-Nicolas,,surface,,,,,,0,580,,,,,,,,,,,,,,,,,
363512505,Amiens,Beauval,Église Saint-Nicolas,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
363512505,Amiens,Beauval,Église Saint-Nicolas,,m3,,,,,,,,,,,,,,,,,,,,,,,,
363512505,Amiens,Beauval,Église Saint-Nicolas,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291320176,Amiens,Vignacourt,Église Saint-Firmin,land,1118.430675,https://www.vignacourt.fr/eglises.php,http://www.openstreetmap.org/way/291320176,other,50.01170684,2.196345025,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
291320176,Amiens,Vignacourt,Église Saint-Firmin,,year,,,,,,1100,1400,,,,,,,,,,,,,,,,,
291320176,Amiens,Vignacourt,Église Saint-Firmin,,surface,,,,,,0,310,,,,,,,,,,,,,,,,,
291320176,Amiens,Vignacourt,Église Saint-Firmin,,height,,,,,,8,8,,,,,,,,,,,,,,,,,
291320176,Amiens,Vignacourt,Église Saint-Firmin,,m3,,,,,,,,,,,,,,,,,,,,,,,,
291320176,Amiens,Vignacourt,Église Saint-Firmin,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454856917,Amiens,Nesle,Collègiale,land,1148.276999,http://www.ville-nesle.fr/histoire.php,http://www.openstreetmap.org/way/454856917,other,49.75712194,2.907808108,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
454856917,Amiens,Nesle,Collègiale,,year,,,,,,800,1000,1001,1050,1475,1500,,,,,,,,,,,,,
