city,UN.country.code,country,transport.location,X__1,X700y,X800y,X900y,X1000y,X1100y,X1200y,X1300y,X1400y,X1500y,X1550y,X1600y,X1650y,X1700y,X1750y,X1800y,X1850y,X1900y,X1950y,X2000y,latitude,longtitude,elevation,loc,lat,lon,loc_frmtd,distance
Ardooie,56,Belgium,land north sea,,0,0,1,1,1,2,2,1,2,2,2,3,4,5,6,10,8,9,10,50.98,3.2,21,Ardooie,50.9767648,3.1991212,"Ardooie, Belgium",0.365165694460114
Arlon (Aarlen),56,Belgium,river north sea,,1,1,1,1,1,2,1,1,2,2,2,2,3,3,3,5,10,11,25,49.68,5.82,421,Arlon (Aarlen),49.6851364,5.8104804,"6700 Arlon, Belgium",0.89349642869065
Binche,56,Belgium,land north sea,,0,0,0,0,0,1,1,1,1,2,2,2,2,3,4,12,23,35,32,50.4,4.17,92,Binche,50.41218,4.1659,"Binche, Belgium",1.38587389944965
Dour (Dou),56,Belgium,land north sea,,0,0,0,1,1,1,1,1,1,2,2,2,2,3,4,7,9,13,17,50.4,3.78,93,Dour,50.4000126,3.7827918,"7370 Dour, Belgium",0.198498991802909
Soignies (Zinnik),56,Belgium,land north sea,,0,1,1,1,1,1,2,1,1,2,2,3,3,4,4,7,11,17,26,50.58,4.07,84,Soignies (Zinnik),50.5764245,4.0706869,"Soignies, Belgium",0.400707703355439
Veurne,56,Belgium,land north sea,,0,0,1,1,1,1,2,1,2,2,2,2,2,2,3,5,6,8,11,51.07,2.67,3,Veurne,51.073159,2.6680341,"8630 Veurne, Belgium",0.377486760651832
Wetteren,56,Belgium,land north sea,,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,4,5,11,24,51,3.88,16,Wetteren,51.0029052,3.8896697,"9230 Wetteren, Belgium",0.751787071386157
Bedarieux (Bédarieux),250,France,river mediterranean,,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,10,6,7,6,43.62,3.17,309,Bedarieux (Bédarieux),43.610054,3.167373,"34600 Bédarieux, France",1.12522119075168
Belfort,250,France,river north sea,,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,8,33,43,50,47.63,6.87,152,Belfort,47.639674,6.863849,"Belfort, France",1.17071838230025
Bourg en Bresse (Bourg-en-Bresse),250,France,land mediterranean,,0,0,0,0,1,1,2,1,5,5,5,5,6,6,7,12,19,27,41,46.2,5.22,220,Bourg en Bresse (Bourg-en-Bresse),46.2051675,5.2255007,"01000 Bourg-en-Bresse, France",0.714263480233641
