osmid,city,osmname,surface,osmwikipedia,osmlink,ctr,category,mendicants,lblink,rmlink,lat,lon,y1,ctr2,ctr3
100010435,Mainz,Johanniskirche,1285.47783,de.wikipedia.org/wiki/St._Johannis_(Mainz),http://www.openstreetmap.org/way/100010435,de,cathedral,"","","",49.99841389,8.272385862,x,de_south,de_sw
100013463,Piacenza,San Sisto,3474.777489,https://it.wikipedia.org/wiki/Chiesa_di_San_Sisto_(Piacenza),https://de.wikipedia.org/wiki/San_Sisto_(Piacenza),it,conventual,0,,,45.05721885,9.69289701,x,it_north,it_north
100098771,Winchester,Hospital of Saint Cross,1199.693917,en.wikipedia.org/wiki/Hospital_of_St_Cross,http://www.openstreetmap.org/way/100098771,uk,other,"",https://historicengland.org.uk/listing/the-list/list-entry/1095374,"",51.04710099,-1.321986067,x,uk_south,uk_se
100384687,Salon de Provence (Salon-de-Provence),Collégiale Saint-Laurent,1267.556545,fr.wikipedia.org/wiki/Église_Saint-Laurent_de_Salon-de-Provence,http://www.openstreetmap.org/way/100384687,fr,other,"","","",43.6435328,5.097030145,x,fr_south,fr_south
100542162,Passau,Pfarrkirche St. Paul,1143.846242,de.wikipedia.org/wiki/St._Paul_(Passau),http://www.openstreetmap.org/way/100542162,de,parish,"","","",48.57559205,13.46261231,x,de_south,de_ne
100608564,Kassel,Martinskirche,2140.762644,de.wikipedia.org/wiki/Martinskirche_(Kassel),http://www.openstreetmap.org/way/100608564,de,parish,"","","",51.31722298,9.501300792,x,de_north,de_sw
100664915,Brugge (Bruges),Sint-Walburgakerk,1747.572056,https://nl.wikipedia.org/wiki/Sint-Walburgakerk_(Brugge),http://www.openstreetmap.org/way/100664915,be,parish,"","","",51.21144646,3.229253188,x,be,lc
100714714,Douai,Église Saint-Jacques,1781.887831,fr.wikipedia.org/wiki/Église_Saint-Jacques_de_Douai,http://www.openstreetmap.org/way/100714714,fr,parish,"","","",50.37114831,3.075279446,x,fr_north,fr_north
100793893,Epinal (Épinal),Basilique Saint-Maurice,1812.890923,fr.wikipedia.org/wiki/Basilique_Saint-Maurice_d'Épinal,http://www.openstreetmap.org/way/100793893,fr,parish,"","","",48.17422079,6.451024489,x,fr_north,fr_north
100897965,Douai,Église Notre-Dame,1379.897007,fr.wikipedia.org/wiki/Église_Notre-Dame_de_Douai,http://www.openstreetmap.org/way/100897965,fr,parish,"","","",50.3666473,3.086262589,x,fr_north,fr_north
100984965,Montepulciano,Chiesa di San Biagio,1478.486005,it.wikipedia.org/wiki/Chiesa_di_San_Biagio_(Montepulciano),http://www.openstreetmap.org/way/100984965,it,parish,0,,,43.09075742,11.77468543,x,it_north,it_north
101049523,Turnhout,Sint-Pieter en Sint-Barbara,2154.786094,nl.wikipedia.org/wiki/Sint-Pieterskerk_(Turnhout),http://www.openstreetmap.org/way/101049523,be,other,"","","",51.32313559,4.948924765,x,be,lc
1019671,Erfurt,Erfurter Dom,4067.683642,de.wikipedia.org/wiki/Erfurter_Dom,http://www.openstreetmap.org/relation/1019671,de,cathedral,"","","",50.97566739,11.02316913,x,de_north,de_ne
102099277,Arles,Primatiale Saint-Trophime,2100,fr.wikipedia.org/wiki/Ancienne_cathédrale_Saint-Trophime_d'Arles,"",fr,cathedral,"","","",43.67664165,4.628236868,x,fr_south,fr_south
102115303,Arles,Église des Frères Prêcheurs,1271.680702,fr.wikipedia.org/wiki/Église_des_Dominicains_d'Arles,http://www.openstreetmap.org/way/102115303,fr,conventual,1,"","",43.67861216,4.626048862,x,fr_south,fr_south
10212387,"Koeln (Köln, Cologne)",St. Pantaleon,2098.845383,de.wikipedia.org/wiki/St._Pantaleon_(Köln),http://www.openstreetmap.org/way/10212387,de,conventual,0,"","",50.9285507,6.948002606,x,de_north,de_sw
102336744,Newcastle-under-Lyme,Saint Giles Church,1104.449771,"",http://www.openstreetmap.org/way/102336744,uk,parish,"","","",53.01154004,-2.229748173,x,uk_north,uk_nw
102658969,Emden,grosse kirche (JaL bibliothek),1200,https://de.wikipedia.org/wiki/Gro%C3%9Fe_Kirche_(Emden),https://www.openstreetmap.org/way/102658969,de,parish,0,,,53.3654,7.2024,x,de_north,de_sw
102809767,Chartres,Cathédrale Notre-Dame,7307.69506,fr.wikipedia.org/wiki/Cathédrale_Notre-Dame_de_Chartres,http://www.openstreetmap.org/way/102809767,fr,cathedral,"","","",48.44783667,1.487859158,x,fr_north,fr_north
102809999,Chartres,Cloitre de Saint-André,1262.851821,fr/decouvrir/histoire-et-patrimoine/patrimoine-de-chartres/la-collegiale-saint-andre/,http://www.openstreetmap.org/way/102809999,fr,conventual,0,"","",48.45019864,1.489903122,x,fr_north,fr_north
102882828,Chartres,"Église Saint-Pierre, ancienne abbaye de Saint-Père-en-Vallée",2044.242096,fr.wikipedia.org/wiki/Église_Saint-Pierre_de_Chartres,http://www.openstreetmap.org/way/102882828,fr,conventual,0,"","",48.44379857,1.492748626,x,fr_north,fr_north
102883969,Chartres,Église Saint-Aignan,1115.532343,fr.wikipedia.org/wiki/Église_Saint-Aignan_de_Chartres,http://www.openstreetmap.org/way/102883969,fr,parish,"","","",48.44476811,1.490530149,x,fr_north,fr_north
103135205,Metz,Basilique Saint-Vincent,1964.816861,fr.wikipedia.org/wiki/Basilique_Saint-Vincent_de_Metz,http://www.openstreetmap.org/way/103135205,fr,conventual,0,"","",49.12349048,6.173071269,x,fr_north,fr_north
103327553,Norwich,St. Andrew's and Blackfriars' Hall,1400,"https://en.wikipedia.org/wiki/St._Andrew's_and_Blackfriars'_Hall,_Norwich",https://www.openstreetmap.org/way/103327553,uk,conventual,1,"","",52.6311,1.2957,x,uk_south,uk_se
103401487,Pontecorvo,Madonna della Libera,1038.710918,it.wikipedia.org/wiki/Chiesa_di_Santa_Maria_della_Libera,http://www.openstreetmap.org/way/103401487,it,parish,"",,,41.49797023,13.70185046,x,it_north,it_north
